timestamp,instrument_id,instrument_type,process_variable,setpoint,measurement_error,signal_noise,drift_rate,ambient_temperature,humidity,vibration_level,power_supply_voltage,calibration_age_days,maintenance_overdue_days,operating_pressure,operating_temperature,process_load_percent,response_time_ms,error_code,fault_status
2025-05-04 21:44:39,FM301,Flow Meter,474.1938,479.5811,-5.3872,0.3591,0.1375,31.77,44.34,0.9013,23.706,214,134,34.204,154.97,56.61,985.11,250,Faulty
2025-02-23 09:27:27,TT231,Temperature Transmitter,161.8402,160.7941,1.0461,0.132,0.0586,31.31,66.41,0.05,24.128,88,17,25.456,233.22,46.7,808.87,0,Normal
2025-03-17 20:38:58,PT136,Pressure Transmitter,35.9698,35.248,0.7218,0.2108,0.0887,35.98,66.84,0.3042,23.975,115,8,44.514,51.87,56.74,382.35,0,Normal
2025-03-02 14:26:45,LT417,Level Transmitter,18.1616,18.1312,0.0304,0.197,0.0445,33.99,74.54,0.6062,23.909,60,5,16.77,174.43,83.1,1766.37,0,Normal
2025-02-22 17:47:55,PT107,Pressure Transmitter,31.3034,31.192,0.1114,0.1693,0.0646,31.75,60.6,0.3022,24.481,151,105,7.132,107.78,38.33,409.96,0,Normal
2025-03-26 02:31:00,PT144,Pressure Transmitter,14.0624,14.7368,-0.6744,0.2885,0.086,34.08,75.17,0.7617,23.621,169,118,14.388,224.77,76.45,706.53,121,Warning
2025-05-17 11:06:33,PT123,Pressure Transmitter,51.9212,53.4054,-1.4841,0.1678,0.1634,33.03,55.91,0.3447,24.31,255,190,43.34,82.19,30.0,793.35,213,Faulty
2025-02-01 03:25:08,TT233,Temperature Transmitter,162.6947,161.8919,0.8027,0.2462,0.0322,31.37,69.5,0.4301,23.713,89,0,19.101,105.23,73.84,1221.36,0,Normal
2025-02-21 16:18:44,PT129,Pressure Transmitter,49.8368,50.2337,-0.3969,0.0772,0.0781,31.7,69.98,0.4968,24.003,133,63,38.642,68.37,61.53,610.15,0,Normal
2025-02-04 07:55:05,TT219,Temperature Transmitter,78.5907,78.5745,0.0162,0.2263,0.0611,28.89,76.68,0.2812,24.041,90,0,12.823,172.03,72.05,1239.05,0,Normal
2025-03-05 03:27:01,PT150,Pressure Transmitter,41.1448,40.351,0.7939,0.0866,0.1011,34.4,66.38,0.2318,24.098,177,0,7.968,154.95,57.99,592.0,0,Normal
2025-04-02 14:15:26,FM334,Flow Meter,429.9482,432.4245,-2.4763,0.3053,0.0485,33.7,60.81,0.6451,23.839,93,55,42.655,81.35,55.65,368.28,161,Warning
2025-03-31 11:27:22,LT421,Level Transmitter,77.3316,76.9074,0.4242,0.3015,0.1288,32.0,67.83,0.5237,23.794,173,5,11.976,44.39,69.5,1757.4,0,Normal
2025-01-17 02:55:38,LT417,Level Transmitter,19.248,18.1329,1.1151,0.2505,0.0281,26.57,74.64,0.6534,24.026,16,0,21.389,179.67,87.08,616.75,0,Normal
2025-02-01 22:49:11,TT248,Temperature Transmitter,140.5015,139.2257,1.2758,0.3163,0.0482,29.47,77.48,0.5805,24.135,79,0,50.916,209.94,85.46,1223.77,0,Normal
2025-04-24 22:30:21,PT137,Pressure Transmitter,55.3889,55.2622,0.1267,0.1338,0.059,33.82,47.28,0.233,24.134,114,0,33.78,189.97,68.63,530.56,0,Normal
2025-02-23 14:23:24,FM307,Flow Meter,295.5516,297.1127,-1.5611,0.2486,0.0302,33.61,69.43,0.7424,23.729,117,56,34.208,174.1,64.97,948.14,0,Normal
2025-02-21 11:02:02,PT121,Pressure Transmitter,42.2178,41.3353,0.8825,0.1729,0.1286,33.24,70.31,0.05,24.058,166,48,13.999,124.38,30.0,594.4,0,Normal
2025-01-07 10:42:04,FM314,Flow Meter,306.6534,302.3898,4.2637,0.4167,0.0668,27.38,80.42,0.6177,23.806,69,0,25.711,250.44,73.79,684.92,161,Warning
2025-02-17 18:28:31,TT207,Temperature Transmitter,70.8796,69.5197,1.3598,0.2594,0.0196,30.89,81.87,0.1826,24.102,63,11,44.714,164.73,65.09,459.61,0,Normal
2025-01-09 03:18:46,PT136,Pressure Transmitter,35.4101,35.0496,0.3604,0.1937,0.0151,29.28,76.99,0.1197,23.546,48,0,40.203,39.2,45.37,405.9,0,Normal
2025-03-01 13:54:17,PT103,Pressure Transmitter,18.1495,17.2328,0.9168,0.1633,0.0827,32.59,64.76,0.723,23.93,148,101,46.297,263.29,83.21,502.87,0,Normal
2025-04-16 03:35:51,LT430,Level Transmitter,74.9374,74.1776,0.7598,0.3168,0.1031,34.36,60.97,0.8869,24.362,223,65,33.655,170.26,84.99,1132.94,173,Warning
2025-01-10 10:46:21,LT425,Level Transmitter,74.7936,75.4647,-0.6712,0.1549,0.0582,29.59,68.81,0.2049,24.456,126,0,33.79,185.5,50.07,1212.49,0,Normal
2025-03-12 10:42:17,LT410,Level Transmitter,31.4604,31.9264,-0.466,0.2398,0.1036,34.82,72.61,0.5177,24.236,152,39,36.799,45.26,64.52,2154.29,181,Warning
2025-03-08 11:33:30,TT212,Temperature Transmitter,209.9297,209.1117,0.818,0.066,0.0671,34.62,67.37,0.05,24.042,105,0,14.421,101.09,43.14,523.92,0,Normal
2025-04-19 13:11:52,FM316,Flow Meter,383.2053,383.6868,-0.4815,0.218,0.0896,34.87,55.86,0.4346,24.123,190,38,47.077,220.03,48.29,1095.1,0,Normal
2025-03-02 20:03:44,LT413,Level Transmitter,38.0208,39.2701,-1.2493,0.2565,0.0703,32.37,61.84,0.5371,24.012,96,29,53.469,248.68,80.35,1090.1,0,Normal
2025-02-24 00:44:01,TT224,Temperature Transmitter,329.0597,328.0691,0.9907,0.245,0.0269,31.9,78.73,0.2961,23.945,83,0,48.035,183.17,55.91,1380.37,0,Normal
2025-05-03 03:17:48,LT413,Level Transmitter,38.626,38.3222,0.3038,0.1449,0.0979,33.06,42.88,0.05,23.682,158,91,39.954,221.82,30.0,1997.14,170,Warning
2025-03-14 07:41:05,TT213,Temperature Transmitter,129.5047,129.3161,0.1886,0.0966,0.0578,34.52,60.68,0.3324,24.141,81,0,33.194,73.46,62.84,1175.86,0,Normal
2025-02-20 02:04:37,TT207,Temperature Transmitter,71.2813,69.9766,1.3047,0.2095,0.0419,32.28,67.56,0.1612,24.057,66,14,40.326,141.88,54.73,1212.17,0,Normal
2025-02-22 03:47:56,TT228,Temperature Transmitter,123.5911,123.526,0.065,0.1147,0.1043,32.05,74.47,0.05,24.356,127,5,8.1,141.48,44.0,1129.24,0,Normal
2025-01-30 13:56:20,TT245,Temperature Transmitter,147.3328,146.3666,0.9662,0.3123,0.0615,27.89,81.41,0.4708,23.535,105,0,57.617,68.9,75.68,1030.36,0,Normal
2025-03-31 03:13:10,TT234,Temperature Transmitter,231.733,230.492,1.241,0.2278,0.0801,34.92,60.62,0.6781,24.209,208,72,50.934,180.26,74.97,1536.39,137,Warning
2025-03-29 22:05:21,TT202,Temperature Transmitter,140.5097,141.3197,-0.8101,0.3725,0.0839,33.62,70.13,0.6849,23.949,111,23,49.253,240.67,85.64,1419.46,0,Normal
2025-02-16 17:07:51,PT116,Pressure Transmitter,53.0119,53.8365,-0.8246,0.3083,0.0713,31.39,80.05,0.7604,24.179,126,71,33.187,97.04,86.73,619.0,112,Warning
2025-01-12 06:50:29,TT242,Temperature Transmitter,292.8687,291.7275,1.1413,0.107,0.0785,27.51,67.84,0.05,23.509,111,2,25.141,128.22,41.9,1369.66,0,Normal
